坦克,tank
节目,program
旅客,traveler
士兵,soldier
饮料,drinks
纸,paper
生活,life
珍珠,pearl
扇子,fan
运动员,athlete
堡垒,fortress
案件,case
药草,herb
雪橇,sled
借口,Excuse
肿瘤,tumor
教堂,church
建筑,architecture
五金,hardware
浪子,prodigal son
锅巴,rice noodles
面食,pasta
特征,feature
照片,photo
宗教,religion
血液,blood
水泥,cement
垫子,mat
偶像,Idol
矿物,mineral
盐,salt
墙壁,wall
美女,beautiful women
音乐,music
电影院,cinema
科学,science
蚕丝,silk
方法,method
比例,proportion
电线,electric wire
萌芽,bud
象,elephant
同学,classmate
朋友,friend
错误,mistake
温度,temperature
草,grass
巫师,wizard
太阳,sun
演员,actor
水,water
工厂,factory
英雄,hero
木料,timber
资料,material
现象,phenomenon
颜色,color
工作,work
战场,battlefield
染料,dye
菜肴,dishes
眼镜,glasses
点心,dessert
石,stone
骨架,skeleton
俘虏,captive
触角,antenna
亲戚,relative
驾驶员,driver
别墅,villa
骨骼,skeleton
玻璃,glass
成员,member
蜡烛,candle
参谋,staff
房间,room
弹药,ammunition
肥料,fertilizer
拖把,mop
孝子,filial son
山,mountain
界限,limit
意图,intention
筷子,chopstick
巢穴,nest
诉讼,litigation
刀具,cutter
学生,student
五谷,grain
手套,glove
仪表,meter
农民,farmer
包裹,pack
表面,surface
流氓,rogue
国家,nation
计划,plan
树木,trees
服务员,waiter
化妆品,cosmetic
棺材,coffin
图,picture
陷阱,trap
鹰,eagle
孕妇,pregnant woman
缝纫,sewing
蚁,ant
维生素,vitamin
狗,dog
调味品,condiment
子女,child
医生,doctor
疾病,disease
粮食,food
财富,wealth
勇士,warrior
居民,resident
思想,thought
眼泪,tear
能力,ability
商店,shop
仆人,servant
陆地,land
夫妻,couple
等级,grade
地面,ground
经验,experience
怒火,anger
鞭子,whip
海豚,dolphin
饲料,feed
猫,cat
字母,letter
理想,ideal
枕头,pillow
气候,climate
工资,salary
战争,war
证书,certificate
牲畜,livestock
伤口,wound
频率,frequency
鞋,shoe
坑道,tunnel
政府,government
胖子,fat man
被告人,defendant
徽章,badge
口,mouth
糖果,candy
耳,ear
趋势,trend
距离,distance
经济,economy
沟渠,ditch
意志,will
怪人,wack
贵族,noble
罪行,offense
皮肤,skin
水果,fruit
顾客,customer
版本,version
医院,hospital
皮革,leather
细菌,bacteria
道路,way
兴趣,interest
折扣,discount
针线,sewing
波浪,wave
物体,object
内心,heart
阻力,resistance
湖泊,lake
角落,corner
身高,height
设备,equipment
蜘蛛,spider
石油,oil
声音,sound
会议,meeting
鸭,duck
内容,content
头,head
道德,morality
骆驼,camel
走廊,corridor
名声,reputation
主持人,host
生物,biology
乐器,musical instrument
椅子,chair
煤,coal
商人,merchant
尿,urine
种子,seed
赌徒,gambler
诱饵,bait
规则,rule
记者,reporter
岛屿,island
核心,core
球,ball
尖,tip
卡片,card
强盗,robber
分歧,disagreement
想法,idea
海洋,ocean
广场,square
罐子,jar
数量,quantity
飞机,airplane
权力,power
内脏,organ
儿童,child
荣誉,honor
温室,greenhouse
警察,police
产业,industry
水蚤,daphnia
作品,work
屏风,screen
簸箕,dustpan
注解,annotation
衣服,cloth
爱情,love
坟墓,grave
饮食,diet
题材,theme
虾,shrimp
矮子,dwarf
目的,purpose
模具,mold
细胞,cell
女人,woman
狼,wolf
姿势,posture
蜥蜴,lizard
遗迹,relic
电报,telegraph
胡同,alley
体格,physique
云,cloud
标准,standard
雪,snow
杂志,magazine
雾,fog
处方,prescription
法律,law
领导,leader
皇宫,royal palace
宇宙,universe
人民,people
花朵,flower
贫血,anemia
文化,culture
胡子,beard
屋檐,eave
树荫,shade
遭遇,encounter
责任,responsibility
猎手,hunter
蔬菜,vegetable
铁,iron
玩具,toy
名人,celebrity
气,gas
邻居,neighbor
绘画,painting
盒子,box
专家,expert
中介,intermediary
灰尘,dust
小说,novel
胶,glue
龟,turtle
新娘,bride
病人,patient
背,back
轮胎,tire
货币,currency
文具,writing materials
工程,project
荒地,wasteland
园林,garden
水库,reservoir
闪电,lightning
仓库,storehouse
城市,city
前途,future
途径,way
肥皂,soap
缺点,shortcoming
监狱,prison
资本家,capitalist
教徒,religious
难民,refugee
工人,worker
难题,problem
胶片,film
火箭,rocket
海参,sea ​​cucumber
纽扣,button
电影,movie
炉子,stove
蝗虫,locust
团体,group
号码,number
昆虫,insect
丝绸,silk
车站,station
政策,policy
瀑布,fall
邀请,invite
回报,return
通信,communication
喜欢,like
主持,host
免疫,immunity
灌溉,irrigation
射击,shooting
教育,educate
孤立,isolated
飘,flow 
打雷,thunder
受灾,affect
攻击,attack
撒娇,flighty
捐献,donate
占有,possess
守信,trustworthy
施肥,fertilize
发烧,fever
雇用,employment
